lev7 m1 continue mci0 mask0 lm0 mum0, muum-1, mui0,, mm-1, mi-1
fill sz327 level7 m0,0 i128,73 o0,0 high0,1 low0,0 mset255,255
fill sz328 level7 m0,1 i128,73 o0,0 high0,1 low0,0 mset255,255
fill sz329 level7 m0,0 i0,74 o0,0 high0,1 low0,0 mset255,255
fill sz330 level7 m0,1 i0,74 o0,0 high0,1 low0,0 mset255,255
fill sz331 level7 m0,0 i64,74 o0,0 high0,1 low0,0 mset255,255
fill sz332 level7 m0,1 i64,74 o0,0 high0,1 low0,0 mset255,255
fill sz333 level7 m0,0 i0,75 o0,0 high0,1 low0,0 mset255,255
fill sz334 level7 m0,1 i0,75 o0,0 high0,1 low0,0 mset255,255
fill sz335 level7 m0,0 i128,74 o0,0 high0,1 low0,0 mset255,255
fill sz336 level7 m0,1 i128,74 o0,0 high0,1 low0,0 mset255,255
fill sz337 level7 m0,0 i192,74 o0,0 high0,1 low0,0 mset255,255
fill sz338 level7 m0,1 i192,74 o0,0 high0,1 low0,0 mset255,255
fill sz339 level7 m0,0 i128,75 o0,0 high0,1 low0,0 mset255,255
fill sz340 level7 m0,1 i128,75 o0,0 high0,1 low0,0 mset255,255
fill sz341 level7 m0,0 i0,76 o0,0 high0,1 low0,0 mset255,255
fill sz342 level7 m0,1 i0,76 o0,0 high0,1 low0,0 mset255,255
fill sz343 level7 m0,0 i64,76 o0,0 high0,1 low0,0 mset255,255
